TDet,date,time,loc_x,loc_y,loc_z,CI95_x_low,CI95_x_hi,CI95_y_low,CI95_y_hi,CI95_z_low,CI95_z_hi,lat,lon
739104.666773322,23-Aug-06,16:00:09.215,-600,-775,10,-735,-490,-820,-735,NaN,10,36.7810607204524,-121.912235517812
739104.666778507,23-Aug-06,16:00:09.663,-555,-775,10,-685,-450,-820,-735,NaN,10,36.7810607204524,-121.911730151476
739104.666788137,23-Aug-06,16:00:10.495,-560,-785,10,-690,-455,-830,-745,NaN,10,36.7809707813615,-121.911786303291
739104.666823692,23-Aug-06,16:00:13.567,-535,-775,10,-665,-430,-820,-735,NaN,10,36.7810607204524,-121.911505544216
739104.667285914,23-Aug-06,16:00:53.503,-525,-745,10,-660,-420,-790,-710,NaN,10,36.7813305377252,-121.911393240585
739104.667296285,23-Aug-06,16:00:54.399,-530,-740,10,-660,-425,-785,-705,NaN,10,36.7813755072707,-121.911449392401
739104.667377766,23-Aug-06,16:01:01.439,-540,-750,10,-675,-435,-795,-710,NaN,10,36.7812855681798,-121.911561696031
739104.667389618,23-Aug-06,16:01:02.463,-525,-740,10,-660,-420,-780,-700,NaN,10,36.7813755072707,-121.911393240585
739104.667396285,23-Aug-06,16:01:03.039,-525,-740,10,-660,-420,-780,-700,NaN,10,36.7813755072707,-121.911393240585
739104.667402211,23-Aug-06,16:01:03.551,-545,-745,10,-675,-435,-790,-705,NaN,10,36.7813305377252,-121.911617847846
739104.667406655,23-Aug-06,16:01:03.935,-545,-745,10,-675,-435,-790,-705,NaN,10,36.7813305377252,-121.911617847846
739104.667408137,23-Aug-06,16:01:04.063,-525,-740,10,-660,-420,-780,-700,NaN,10,36.7813755072707,-121.911393240585
739104.667419248,23-Aug-06,16:01:05.023,-545,-750,10,-680,-440,-795,-710,NaN,10,36.7812855681798,-121.911617847846
739104.667422211,23-Aug-06,16:01:05.279,-545,-750,10,-680,-440,-795,-710,NaN,10,36.7812855681798,-121.911617847846
739104.667423692,23-Aug-06,16:01:05.407,-535,-745,10,-670,-430,-790,-710,NaN,10,36.7813305377252,-121.911505544216
739104.667468877,23-Aug-06,16:01:09.311,-530,-735,10,-660,-425,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.667479988,23-Aug-06,16:01:10.271,-545,-740,10,-685,-440,-785,-700,NaN,10,36.7813755072707,-121.911617847846
739104.667483692,23-Aug-06,16:01:10.591,-550,-740,10,-685,-440,-785,-705,NaN,10,36.7813755072707,-121.911673999661
739104.667489618,23-Aug-06,16:01:11.103,-550,-740,10,-685,-440,-785,-705,NaN,10,36.7813755072707,-121.911673999661
739104.667493322,23-Aug-06,16:01:11.423,-550,-740,10,-685,-440,-785,-705,NaN,10,36.7813755072707,-121.911673999661
739104.667548137,23-Aug-06,16:01:16.159,-530,-735,10,-665,-425,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.667548877,23-Aug-06,16:01:16.223,-530,-735,10,-665,-425,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.667549618,23-Aug-06,16:01:16.287,-530,-735,10,-665,-425,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.6675511,23-Aug-06,16:01:16.415,-535,-740,10,-665,-425,-785,-705,NaN,10,36.7813755072707,-121.911505544216
739104.66755184,23-Aug-06,16:01:16.479,-535,-740,10,-665,-425,-785,-705,NaN,10,36.7813755072707,-121.911505544216
739104.66756147,23-Aug-06,16:01:17.311,-530,-735,10,-665,-420,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.667566655,23-Aug-06,16:01:17.759,-530,-735,10,-665,-420,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.667569618,23-Aug-06,16:01:18.015,-530,-735,10,-665,-420,-780,-700,NaN,10,36.7814204768162,-121.911449392401
739104.66759184,23-Aug-06,16:01:19.935,-525,-735,10,-655,-415,-780,-700,NaN,10,36.7814204768162,-121.911393240585
739104.667600729,23-Aug-06,16:01:20.703,-525,-735,10,-660,-415,-780,-695,NaN,10,36.7814204768162,-121.911393240585
739104.667619248,23-Aug-06,16:01:22.303,-540,-730,10,-680,-435,-770,-690,NaN,10,36.7814654463617,-121.911561696031
739104.667639988,23-Aug-06,16:01:24.095,-540,-730,10,-675,-430,-775,-690,NaN,10,36.7814654463617,-121.911561696031
739104.667648137,23-Aug-06,16:01:24.799,-560,-760,10,-695,-455,-805,-720,NaN,10,36.7811956290888,-121.911786303291
739104.667660729,23-Aug-06,16:01:25.887,-515,-715,10,-650,-405,-760,-680,NaN,10,36.7816003549981,-121.911280936955
739104.667694062,23-Aug-06,16:01:28.767,-535,-725,10,-670,-425,-770,-690,NaN,10,36.7815104159071,-121.911505544216
739104.667695544,23-Aug-06,16:01:28.895,-535,-725,10,-670,-425,-770,-690,NaN,10,36.7815104159071,-121.911505544216
739104.667700729,23-Aug-06,16:01:29.343,-535,-715,10,-670,-425,-760,-675,NaN,10,36.7816003549981,-121.911505544216
739104.667712581,23-Aug-06,16:01:30.367,-535,-715,10,-670,-425,-755,-675,NaN,10,36.7816003549981,-121.911505544216
739104.667714803,23-Aug-06,16:01:30.559,-535,-725,10,-670,-425,-770,-690,NaN,10,36.7815104159071,-121.911505544216
739104.667739988,23-Aug-06,16:01:32.735,-510,-725,10,-640,-405,-770,-690,NaN,10,36.7815104159071,-121.91122478514
739104.667740729,23-Aug-06,16:01:32.799,-505,-720,10,-635,-400,-765,-685,NaN,10,36.7815553854526,-121.911168633325
739104.667748137,23-Aug-06,16:01:33.439,-530,-725,10,-665,-420,-770,-690,NaN,10,36.7815104159071,-121.911449392401
739104.667749618,23-Aug-06,16:01:33.567,-530,-725,10,-665,-420,-770,-690,NaN,10,36.7815104159071,-121.911449392401
739104.667768137,23-Aug-06,16:01:35.167,-540,-725,10,-680,-430,-770,-685,NaN,10,36.7815104159071,-121.911561696031
739104.667771099,23-Aug-06,16:01:35.423,-540,-725,10,-680,-430,-770,-685,NaN,10,36.7815104159071,-121.911561696031
739104.667774062,23-Aug-06,16:01:35.679,-540,-725,10,-680,-435,-770,-685,NaN,10,36.7815104159071,-121.911561696031
739104.667779988,23-Aug-06,16:01:36.191,-540,-725,10,-680,-435,-770,-685,NaN,10,36.7815104159071,-121.911561696031
739104.667834062,23-Aug-06,16:01:40.863,-535,-720,10,-675,-430,-765,-680,NaN,10,36.7815553854526,-121.911505544216
739104.667837025,23-Aug-06,16:01:41.119,-535,-720,10,-675,-430,-760,-680,NaN,10,36.7815553854526,-121.911505544216
739104.667840729,23-Aug-06,16:01:41.439,-540,-720,10,-675,-430,-765,-685,NaN,10,36.7815553854526,-121.911561696031
739104.667889618,23-Aug-06,16:01:45.663,-525,-715,10,-665,-420,-760,-680,NaN,10,36.7816003549981,-121.911393240585
739104.667897025,23-Aug-06,16:01:46.303,-530,-715,10,-670,-425,-755,-675,NaN,10,36.7816003549981,-121.911449392401
739104.667899988,23-Aug-06,16:01:46.559,-530,-715,10,-665,-420,-760,-680,NaN,10,36.7816003549981,-121.911449392401
739104.66790147,23-Aug-06,16:01:46.687,-530,-715,10,-670,-425,-760,-680,NaN,10,36.7816003549981,-121.911449392401
739104.667912581,23-Aug-06,16:01:47.647,-530,-715,10,-670,-425,-760,-680,NaN,10,36.7816003549981,-121.911449392401
739104.667922211,23-Aug-06,16:01:48.479,-530,-715,10,-670,-425,-760,-675,NaN,10,36.7816003549981,-121.911449392401
739104.667922951,23-Aug-06,16:01:48.543,-535,-715,10,-670,-425,-760,-680,NaN,10,36.7816003549981,-121.911505544216
739104.667927396,23-Aug-06,16:01:48.927,-535,-715,10,-670,-425,-760,-680,NaN,10,36.7816003549981,-121.911505544216
739104.667985914,23-Aug-06,16:01:53.983,-525,-710,10,-660,-415,-755,-675,NaN,10,36.7816453245435,-121.911393240585
739104.667987396,23-Aug-06,16:01:54.111,-525,-710,10,-660,-415,-755,-675,NaN,10,36.7816453245435,-121.911393240585
739104.66799184,23-Aug-06,16:01:54.495,-525,-710,10,-660,-415,-755,-675,NaN,10,36.7816453245435,-121.911393240585
739104.667994803,23-Aug-06,16:01:54.751,-525,-710,10,-660,-415,-755,-675,NaN,10,36.7816453245435,-121.911393240585
